elevation_mean,elevation_std,slope_mean,slope_std,NDVI_mean,NDVI_std,NDCI_mean,NDCI_std,IronRatio_mean,IronRatio_std,landcover_mode,lat,lon,name,mineral,label
1559.3406598128192,30.39931326234496,7.036814653745283,7.019645571738034,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000004,42.05,-119.95,Deep Creek,carb,1
1491.4015223042816,35.22324857815164,7.743252731334271,6.519176868505693,0.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,35.483333333333,-115.53333333333,Mountain Pass,carb,1
987.3489783834551,30.682404917172246,7.356621018127013,6.2233169109948605,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.116666666667,-114.06666666667,Mineral X,oth-ig-aff,1
337.86776398813186,35.483251576684175,12.677025296354554,7.238033697350958,0.0,0.0,0.0,0.0,0.0,0.0,60.0,34.333333333333,-115.55,Pomona Tile Company,oth-ig-aff,1
538.3742701754946,43.04975087956895,9.862277547808356,6.031054232323964,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,34.533333333333,-113.55,Signal district,oth-ig-aff,1
1581.700555885213,71.29654807902824,11.152085954644333,9.507132415190771,0.0,0.0,0.0,0.0,0.0,0.0,29.99999999999999,44.95,-113.61666666667,Lemhi Pass,met,1
2559.715753105388,86.80820628016735,20.11793491538937,7.449169255167114,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000004,44.9,-115.26666666667,Monumental Summit,met,1
1019.448256404999,35.352134214730874,7.918341955463342,5.8227713803120595,0.0,0.0,0.0,0.0,0.0,0.0,60.0,34.016666666667,-115.95,Music Valley,met,1
2061.0728544574054,58.6217872593688,11.232205632634995,7.103506333340053,0.0,0.0,0.0,0.0,0.0,0.0,10.0,44.35,-115.4,Bear Valley,placer-al,1
1463.746855858955,11.511326897814378,3.1744970953180953,1.8944731797594292,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999986,44.466666666667,-115.98333333333,Big Creek,placer-al,1
1507.1545497006027,5.3752829616351185,2.769357231418794,2.415262440275952,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000004,44.683333333333,-115.96666666667,Gold Fork-Little Valley,placer-al,1
1469.0592746600234,0.5792975936486718,0.06572877818317144,0.5259041268270123,0.0,0.0,0.0,0.0,0.0,0.0,80.0,44.516666666667,-116.08333333333,Pearsol Creek,placer-al,1
2408.401300435862,74.85624723919686,17.77713498460297,7.461826647418565,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.116666666667,-111.51666666667,Blackfoot Bridge,phos,1
2076.352484345232,43.742797621455395,14.116655305120025,7.0116225106918435,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000007,42.733333333333,-111.36666666667,Caldwell Canyon,phos,1
2020.2611650420647,28.707636208139274,6.089842589842589,4.774112778961056,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999975,42.666666666667,-111.26666666667,Champ,phos,1
1905.6731911269353,24.33769315546385,5.650820120238754,4.963255866130704,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999975,42.733333333333,-111.53333333333,Conda,phos,1
1739.3146530389924,25.328765836103035,6.610320410090424,4.400044382895303,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000001,43.05,-112.11666666667,Gay and South Forty,phos,1
1991.6006472857803,33.511585118648874,9.471302361271267,5.295060310430196,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999993,42.883333333333,-111.46666666667,Henry,phos,1
2571.390707753571,88.21523000362069,20.600292326471813,7.4016178283384475,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.7,-111.25,Husky,phos,1
2209.2048165267556,84.30226760767582,20.057983777172737,6.82595273803301,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.75,-111.3,Maybe Canyon (Maybie),phos,1
2106.637027258421,56.456732950253155,13.10550308666185,6.426708365317345,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.65,-111.28333333333,Mountain Fuel,phos,1
1946.4242100617755,48.309839750628385,11.235019659631975,8.952323886629921,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000002,42.9,-111.5,North Henry,phos,1
2317.599321642828,104.67915467706638,20.73388943394936,7.109912348333017,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.716666666667,-111.13333333333,Smoky Canyon,phos,1
2375.6674832666563,44.27769469243343,12.684510837130452,5.20372926483884,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.633333333333,-111.41666666667,Swan Lake Gulch,phos,1
2023.384670130712,60.67635670926586,12.013473117517886,6.532039473038609,0.0,0.0,0.0,0.0,0.0,0.0,29.99999999999999,42.733333333333,-111.41666666667,Trail Creek,phos,1
2187.9019606048632,81.6760407590134,14.151564365497027,6.70306381789996,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000002,42.833333333333,-111.4,Wooley Valley,phos,1
338.67433502417407,57.43044063957176,12.890642309571971,6.295796482184669,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000007,38.5782,-120.84102,"Non-REE Site range(0, 200)",Non-REE,0
947.0924854616966,94.67272453747691,22.74390147567988,7.87714278338894,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.20954,-123.86922,"Non-REE Site range(0, 200)",Non-REE,0
484.39063723979046,27.666406485748148,9.552605511727467,6.487605641842575,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000005,42.06092,-123.65425,"Non-REE Site range(0, 200)",Non-REE,0
