elevation_mean,elevation_std,slope_mean,slope_std,NDVI_mean,NDVI_std,NDCI_mean,NDCI_std,IronRatio_mean,IronRatio_std,landcover_mode,lat,lon,name,mineral,ree_probability,prediction
1546.7107049934978,7.678097640142321,2.8115038373820105,1.6270726224248546,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.63157894736842,-112.36842105263158,Prediction Point 117,Unknown,0.5353182982254272,1
1916.640553451416,8.67078881086012,3.768405359004976,3.0379596878122164,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,34.63157894736842,-110.78947368421052,Prediction Point 119,Unknown,0.5508054065411934,1
1705.4305412280917,10.91324183442716,3.8936588325903827,2.271700937510644,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999975,34.63157894736842,-110.0,Prediction Point 120,Unknown,0.5388473140231492,1
1602.1899366460436,4.714385056872295,1.8888754904598035,1.1529713575688803,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,35.1578947368421,-113.15789473684211,Prediction Point 136,Unknown,0.5251585538164816,1
2127.6218184415384,24.172844985285483,6.838919457409784,8.763428113692207,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000004,35.1578947368421,-111.57894736842105,Prediction Point 138,Unknown,0.5760610359352878,1
1723.3544761058724,14.279190255718522,5.398158984557143,4.705426916152006,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000018,35.68421052631579,-112.36842105263158,Prediction Point 157,Unknown,0.5833316169401419,1
1680.903335200969,12.146560374020313,3.3630542080740766,1.9162561746969693,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000004,35.68421052631579,-110.78947368421052,Prediction Point 159,Unknown,0.5388473140231492,1
1974.1266460736606,19.077552535065134,7.512168734875477,4.220128204573796,0.0,0.0,0.0,0.0,0.0,0.0,30.0,35.68421052631579,-110.0,Prediction Point 160,Unknown,0.6516371378024011,1
1382.4929750621113,27.38733776005663,6.207368403707825,6.293795418940618,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,36.21052631578947,-117.89473684210526,Prediction Point 170,Unknown,0.5380276355169777,1
2178.5032295921455,49.00922725594061,11.412898961733733,7.70965595238348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,36.21052631578947,-110.0,Prediction Point 180,Unknown,0.5442676400418827,1
1513.3545311793919,26.311160915406347,4.360020294359133,4.2015635723183795,0.0,0.0,0.0,0.0,0.0,0.0,30.000000000000032,36.73684210526316,-113.15789473684211,Prediction Point 196,Unknown,0.5293526036284387,1
2693.5015358738174,59.91481362429453,12.08434663945788,6.479827982053408,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000005,37.78947368421053,-118.6842105263158,Prediction Point 229,Unknown,0.5862379760219764,1
1750.9591851007071,15.537634702334586,5.126367310782118,3.066993861239424,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000001,37.78947368421053,-117.10526315789474,Prediction Point 231,Unknown,0.5420680475752169,1
2000.820784490936,65.15124718778003,8.776428690548554,7.043667861128722,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999993,37.78947368421053,-115.52631578947368,Prediction Point 233,Unknown,0.6194915523698756,1
2087.9929330015916,16.716613804803227,4.774415529105866,2.8564590882822536,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,37.78947368421053,-112.36842105263158,Prediction Point 237,Unknown,0.6152896181044504,1
2128.9367705076806,40.3837918189343,8.459309550429776,4.914533036227736,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000005,38.31578947368421,-113.94736842105263,Prediction Point 255,Unknown,0.5386864310402997,1
3009.1557988269474,54.73836836975375,15.37534660683592,6.535155766584103,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000007,38.31578947368421,-112.36842105263158,Prediction Point 257,Unknown,0.5376283944652782,1
2185.0781673942342,28.45446454923797,5.881103878994189,2.680488260886286,0.0,0.0,0.0,0.0,0.0,0.0,29.99999999999998,38.31578947368421,-111.57894736842105,Prediction Point 258,Unknown,0.6327461817145024,1
2042.4345215003818,58.579535299156184,10.541170222448839,5.505225899469646,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.8421052631579,-120.26315789473685,Prediction Point 267,Unknown,0.6001863211251766,1
2356.626342095358,42.70169334354359,8.852205587358377,3.4851935357688775,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.8421052631579,-114.73684210526315,Prediction Point 274,Unknown,0.5117140602738112,1
1769.8569716742877,20.675168323991674,3.0508800641910474,1.3689962233298145,0.0,0.0,0.0,0.0,0.0,0.0,30.0,38.8421052631579,-113.94736842105263,Prediction Point 275,Unknown,0.562616918755382,1
2277.147691614346,75.83144271557573,11.921685879280858,8.31266827098478,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999964,38.8421052631579,-111.57894736842105,Prediction Point 278,Unknown,0.5573722314583169,1
2156.736340218712,9.214098992599768,3.9374068264663693,2.394865320607617,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,38.8421052631579,-110.78947368421052,Prediction Point 279,Unknown,0.580965293780126,1
2071.4832519937277,57.788467808551594,9.12330142902754,5.837706663466798,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000009,39.368421052631575,-120.26315789473685,Prediction Point 287,Unknown,0.6293522496854973,1
1583.3706493299171,10.385263222170225,2.994948613390432,1.6232782853708492,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,39.368421052631575,-117.89473684210526,Prediction Point 290,Unknown,0.5353182982254272,1
